key,en,pl,de
# --- BUTTONS & SWITCHES ---
button_yes,"Yes","Tak","Ja"
button_no,"No","Nie","Nein"
button_yes_fancy,"Sure","Jasne","Sicher"
button_ok,"Okay","Okej","Okay"
button_back,"Back","Wróć","Zurück"
button_cancel,"Cancel","Anuluj","Abbrechen"
button_done,"Done!","Gotowe!","Fertig!"
switch_on,"ON","WŁ","EIN"
switch_off,"OFF","WYŁ","AUS"
ask_sure,"Are you sure?","Czy na pewno?","Bist du sicher?"
ask_erase,"This can't be undone.","Nie da się tego cofnąć.","Nicht rückgängig machbar."
# --- SPLASH SCREEN ---
log_made_by,"Made by OdSoft","Gra stworzona przez OdSoft"
splash_presents,"presents...","przedstawia...","präsentiert..."
# --- TITLE SCREEN ---
title_root_play,"Play","Graj","Spielen"
title_root_set,"Settings","Ustawienia","Einstellungen"
title_root_exit,"Exit game","Wyjdź z gry","Spiel beenden"
# --- SETTINGS ---
settings_general,"General","Ogólne","Allgemein"
settings_video,"Video","Obraz","Bild"
settings_audio,"Audio","Dźwięk","Audio"
settings_input,"Input","Sterowanie"
settings_access,"Accessibility","Ułatwienia dostępu"
settings_credits,"Credits & Attributions","Twórcy i atrybucje"
settings_feedback,"Open GitHub","Otwórz GitHuba","GitHub öffnen"
settings_contact,"Get in touch","Skontaktuj się","Kontakt aufnehmen"
# --- GENERAL SETTINGS ---
set_general_opendir,"Open game directory","Otwórz katalog gry","Spielverzeichnis öffnen"
set_general_lang,"Language","Język","Sprache"
set_general_erase,"Erase settings","Wymaż ustawienia","Einstellungen löschen"
set_general_eraseall,"Erase everything","Wymaż wszystko","Alles löschen"
# --- VIDEO SETTINGS ---
set_video_gpu,"Graphics card: %s","Karta graficzna: %s","Grafikkarte: %s"
set_video_gpu_noid,"Couldn't identify","Nie rozpoznano","Nicht erkannt"
set_video_resolution,"Resolution","Rozdzielczość","Auflösung"
set_video_vsync,"V-Sync","V-Sync","V-Sync"
set_video_fpslimit,"Limit FPS to %s","Ogranicz FPS do %s","FPS auf %s begrenzen"
set_video_fpslimit_nolimit,"Unlimited","Bez limitu","Unbegrenzt"
set_video_dispmode,"Display mode","Tryb wyświetlania","Anzeigemodus"
set_video_dispmode_fullscreen,"Fullscreen","Pełny ekran","Vollbild"
set_video_dispmode_borderless,"Borderless","Bez ramek","Randlos"
set_video_dispmode_windowed,"Windowed","W oknie","Fenstermodus"
set_video_showfps,"Show FPS","Pokaż FPS","FPS anzeigen"
# --- AUDIO SETTINGS ---
set_audio_out,"Audio output","Wyjście audio","Audioausgabe"
set_audio_volume,"Volume: %d%%","Głośność: %d%%","Lautstärke: %d%%"
set_audio_bgm_volume,"BGM Volume: %d%%","Głośność muzyki: %d%%","Musik-Lautstärke: %d%%"
set_audio_sfx_volume,"SFX Volume: %d%%","Głośność efektów: %d%%","SFX-Lautstärke: %d%%"
# --- INPUT SETTINGS ---
set_input_rumble,"Rumble","Wibracje"
set_input_rumble_none,"None","Brak"
set_input_rumble_weak,"Weak","Słabe"
set_input_rumble_medium,"Medium","Średnie"
set_input_rumble_strong,"Strong","Silne"
# --- ACCESSIBILITY SETTINGS ---
set_access_shakeint,"Shake intensity","Intensywność wstrząsów"
set_access_flashred,"Reduce flashes","Ogranicz błyski"
set_access_motionred,"Reduce motion","Ogranicz ruchy"
set_access_cutscenered,"Skip optional cutscenes","Pomiń opcjonalne przerywniki"
# --- PLAY GAME SCREEN ---
play_file,select,"Select save file:","Wybierz plik zapisu:"
play_file,"File %s: %s","Plik %s: %s"
play_file_load,"Load","Załaduj","Laden"
play_file_clone,"Clone","Sklonuj","Klonen"
play_file_erase,"Erase","Wymaż","Löschen"
play_file_clone_target,"Clone file %s to where?","Gdzie sklonować plik %s?"
play_file_clone_overwrite,"File %s already exists. Overwrite it?","Plik %s już istnieje. Nadpisać go?"
play_file_erase_ask,"All progress in file %s will disappear for good.","Cały postęp w pliku %s zniknie na dobre."
